MLS #,Acres,Basement Finished,Under Contract Date,Effective Date Of The Listing Agreement,List Price,Basement Square Feet,Sold Concessions,Sold Date,Sold Price,Sold Terms,Tax ID,Total Bedrooms,Total Full Bathrooms,Total Half Bathrooms,Total Three-quarter Bathrooms,Total Fireplaces,Total Kitchens,Total Laundry Rooms,Total Square Feet,Year Built,Road Condition,Accessability,Address
96850,0.23,90.0,2022-02-04,2022-02-02,579900,1749,750,2022-03-04,585000.0,CONV,B-1732-0021-0000,5,3,1,0,1,1,2,3498,2003,Paved,,2286 W Crestview Circle
96853,0.28,40.0,2022-02-01,2022-02-01,455000,1636,0,2022-06-29,518584.0,VA,A-1034-0008-0000,4,3,0,0,1,1,1,3533,2022,Paved,,"1102 E Southern Homestead Blvd Lot 8, Phs 3, Settlers Square"
96854,0.28,0.0,2022-01-31,2022-01-31,395000,0,0,2022-06-03,412669.74,CONV,A-0883-0032-0000,3,2,0,0,1,1,1,1636,2022,Paved,,1142 E Southern Homestead Lot 32 Settlers Square Phs 2 Boulevard
96858,19.83,80.0,2022-05-27,2022-02-03,2100000,3875,5000,2022-06-06,1925000.0,CASH,E-1900-0003-0000,5,4,1,0,3,1,1,7750,2020,Paved,,7776 W Bumble Bee Springs Road
96857,0.42,0.0,2022-02-08,2022-02-03,434500,0,0,2022-03-15,454500.0,CONV,A-0944-0017-0000,4,2,0,0,1,1,1,1905,2015,Paved,Year Round,3727 N 250 E
96866,0.3,0.0,2022-02-18,2022-02-02,471600,1700,5000,2022-02-24,471600.0,CONV,B-1857-0027-0038,3,2,0,0,0,1,1,3248,2022,Paved,,3566 W Foundation Trail
96868,0.03,0.0,2022-02-15,2022-02-03,322585,0,0,2022-09-30,299990.0,CONV,B-1577-054A-0000,4,2,1,0,0,1,1,1635,2022,Paved,,309 W 2050 N
96870,0.34,0.0,2022-02-09,2022-02-03,547555,2275,5000,2022-06-15,542555.0,CONV,B-1857-0027-0039,3,2,1,0,1,1,1,4439,2022,Paved,,3564 W Foundation Trail
96872,0.53,90.0,2022-02-09,2022-02-03,385000,513,0,2022-03-09,385000.0,CONV,A-0792-0001-0000,3,2,1,0,0,1,1,1963,1938,,Year Round,645 E Midvalley Road
96876,0.1,0.0,2022-02-07,2022-02-04,489900,0,0,2022-02-23,480000.0,CASH,A-0199-0001-0000,5,2,0,1,1,2,1,2742,2007,Paved,,24 N 200 E
96880,10.36,80.0,2022-04-22,2022-02-04,1075000,1496,0,2022-06-08,987500.0,CONV,D-1198-0004-0000,5,2,0,0,1,1,1,2992,2015,Paved,,2676 W 4000 N
